AssetID;AssetPortalLink;AssetName;Description;ReadyDate;Theme;Sku;Campaign;Audience;SubAudience;Market;ToProductionStatus_ID;ToAssetType_ID;ToContentManager_ID
AID13201;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13201;AssetName 13201;AssetDescription 13201;2020-11-30;Duplo;60704;Latest Campaign;Kids;Boys;Global;Done;201;101
AID13202;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13202;AssetName 13202;AssetDescription 13202;2020-12-01;Single;60705;Latest Campaign;Kids;Girls;Global;Done;201;101
AID13203;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13203;AssetName 13203;AssetDescription 13203;2020-12-02;Duplo;60706;Latest Campaign;Kids;Boys;Global;Done;201;101
AID13204;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13204;AssetName 13204;AssetDescription 13204;2020-12-03;Single;60707;Latest Campaign;Kids;Girls;Global;Done;201;101
AID13205;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13205;AssetName 13205;AssetDescription 13205;2020-12-04;Duplo;60708;Latest Campaign;Kids;Boys;Global;Done;201;101
AID13206;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13206;AssetName 13206;AssetDescription 13206;2020-12-05;Single;60709;Latest Campaign;Kids;Girls;Global;Done;201;101
AID13207;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13207;AssetName 13207;AssetDescription 13207;2020-12-06;Duplo;60710;Latest Campaign;Kids;Boys;Global;Done;201;101
AID13208;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13208;AssetName 13208;AssetDescription 13208;2020-12-07;Duplo;60710;Previous Campaing;Kids;Boys;Global;Done;201;101
AID13209;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13209;AssetName 13209;AssetDescription 13209;2020-12-08;Single;60710;Previous Campaing;Kids;Girls;Global;Done;201;101
AID13210;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13210;AssetName 13210;AssetDescription 13210;2020-12-09;Duplo;60710;Previous Campaing;Kids;Boys;Global;Done;201;101
AID13211;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13211;AssetName 13211;AssetDescription 13211;2020-12-10;Single;60710;Previous Campaing;Kids;Girls;Global;Done;201;101
AID13212;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13212;AssetName 13212;AssetDescription 13212;2020-12-11;Duplo;60710;Previous Campaing;Kids;Boys;Global;Done;201;101
AID13213;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13213;AssetName 13213;AssetDescription 13213;2020-12-12;Single;60710;Previous Campaing;Kids;Girls;Global;Done;201;101
AID13214;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13214;AssetName 13214;AssetDescription 13214;2020-12-13;Duplo;60710;Previous Campaing;Kids;Boys;Global;Done;201;101
AID13215;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13215;AssetName 13215;AssetDescription 13215;2020-12-14;Duplo;60710;Previous Campaing;Kids;Boys;Global;Done;201;101
AID13216;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13216;AssetName 13216;AssetDescription 13216;2020-12-15;Single;60710;Previous Campaing;Kids;Girls;Global;Done;201;101
AID13217;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13217;AssetName 13217;AssetDescription 13217;2020-12-16;Duplo;60710;Next;Kids;Boys;Global;Done;201;101
AID13218;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13218;AssetName 13218;AssetDescription 13218;2020-12-17;Single;60710;Next;Kids;Girls;Global;Done;201;101
AID13219;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13219;AssetName 13219;AssetDescription 13219;2020-12-18;Duplo;60710;Next;Kids;Boys;Global;Done;201;101
AID13220;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13220;AssetName 13220;AssetDescription 13220;2020-12-19;Single;60710;Next;Kids;Girls;Global;Ongoing;201;101
AID13221;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13221;AssetName 13221;AssetDescription 13221;2020-12-20;Duplo;60710;Next;Kids;Boys;Global;Ongoing;201;101
AID13222;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13222;AssetName 13222;AssetDescription 13222;2020-12-21;Duplo;60710;Next;Kids;Boys;Global;Ongoing;201;101
AID13223;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13223;AssetName 13223;AssetDescription 13223;2020-12-22;Single;60710;Next;Kids;Girls;Global;Ongoing;201;101
AID13224;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13224;AssetName 13224;AssetDescription 13224;2020-12-23;Duplo;60710;Next;Kids;Boys;Global;Ongoing;201;101
AID13225;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13225;AssetName 13225;AssetDescription 13225;2020-12-24;Single;60710;Campaign;Kids;Girls;Global;Ongoing;201;101
AID13226;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13226;AssetName 13226;AssetDescription 13226;2020-12-25;Duplo;60710;Latest Campaign;Kids;Boys;Global;Ongoing;201;101
AID13227;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13227;AssetName 13227;AssetDescription 13227;2020-12-26;Single;60710;Latest Campaign;Kids;Girls;Global;Ongoing;201;101
AID13228;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13228;AssetName 13228;AssetDescription 13228;2020-12-27;Duplo;60710;Latest Campaign;Kids;Boys;Global;Ongoing;201;101
AID13229;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13229;AssetName 13229;AssetDescription 13229;2020-12-28;Duplo;60710;Latest Campaign;Kids;Boys;Global;Ongoing;201;101
AID13230;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13230;AssetName 13230;AssetDescription 13230;2020-12-29;Single;60710;Latest Campaign;Kids;Girls;Global;Ongoing;201;101
AID13231;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13231;AssetName 13231;AssetDescription 13231;2020-12-30;Duplo;60710;Latest Campaign;Kids;Boys;Global;Ongoing;201;101
AID13232;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13232;AssetName 13232;AssetDescription 13232;2020-12-31;Single;60710;Latest Campaign;Kids;Girls;Global;Ongoing;201;101
AID13233;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13233;AssetName 13233;AssetDescription 13233;2020-01-01;Duplo;60710;Previous Campaing;Kids;Boys;Global;Ongoing;201;101
AID13234;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13234;AssetName 13234;AssetDescription 13234;2020-01-02;Single;60710;Previous Campaing;Kids;Girls;Global;Ongoing;201;101
AID13235;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13235;AssetName 13235;AssetDescription 13235;2020-01-03;Duplo;60710;Previous Campaing;Kids;Boys;Global;Ongoing;201;101
AID13236;https://lap.corp.internal.com/Detail/Asset.aspx?id=AID13236;AssetName 13236;AssetDescription 13236;2020-01-04;Duplo;60710;Previous Campaing;Kids;Boys;Global;Ongoing;201;101
